dataset,video_id,conversation_id,level,level_label,episode_id,n_episode_utterances,dyad_ss,dyad_df,speaker_ss,speaker_df,episode_dispersion_dyad,episode_dispersion_speaker
wired,dimension,wired_dimension_13,1,teenager,2,25.0,18.233791905313453,24.0,16.01090816594172,23.0,0.871631418311697,0.8343419215150741
wired,dimension,wired_dimension_14,2,undergraduate,0,61.0,47.31361817392116,60.0,44.25115464780054,59.0,0.8880091795126253,0.8660367026296888
wired,dimension,wired_dimension_14,2,undergraduate,1,17.0,12.304790859716274,16.0,10.912416777258194,15.0,0.8769546332235592,0.8529328530530483
wired,dimension,wired_dimension_14,2,undergraduate,2,21.0,15.75239369717312,20.0,14.361798812621142,19.0,0.8874793996812862,0.8694159810083385
wired,dimension,wired_dimension_15,3,graduate,0,66.0,52.36673387809931,65.0,51.087430172036136,64.0,0.897575656790594,0.8934433929679398
wired,dimension,wired_dimension_15,3,graduate,1,26.0,18.170980482745264,25.0,17.561286732362404,24.0,0.8525486609630036,0.8554065001594857
wired,dimension,wired_dimension_16,4,expert,0,15.0,10.750778047196603,14.0,9.635050921470707,13.0,0.8763062921472721,0.8609051998855939
wired,dimension,wired_dimension_16,4,expert,1,18.0,13.823050208344533,17.0,13.03611582101495,16.0,0.9017320003697633,0.9026390412636905
wired,dimension,wired_dimension_16,4,expert,2,23.0,18.737725939113204,22.0,17.765025260243235,21.0,0.9228839663870191,0.9197573505121373
wired,dimension,wired_dimension_16,4,expert,3,22.0,17.220839654900722,21.0,16.23762790431482,20.0,0.9055605907760679,0.9010446133326258
wired,dimension,wired_dimension_16,4,expert,4,17.0,12.910578360229833,16.0,12.463298646347289,15.0,0.8982823317389498,0.9115298000741131
wired,fractal,wired_fractal_12,0,child,0,15.0,10.70369019514424,14.0,8.721473506286685,13.0,0.8743850980278426,0.8190742197180108
wired,fractal,wired_fractal_12,0,child,1,19.0,14.320520226922444,18.0,12.555986545504425,17.0,0.8919554120309192,0.8594111029380533
wired,fractal,wired_fractal_12,0,child,2,12.0,8.023539080204253,11.0,7.569517923247111,10.0,0.8540565810617773,0.8700297651946807
wired,fractal,wired_fractal_13,1,teenager,0,40.0,30.44486479726985,39.0,29.709322528383723,38.0,0.883536959557638,0.8842082769702676
