dataset,video_id,conversation_id,level,level_label,n_utterances,expert_utterance_proportion,pr_naive,pr_row_corrected,pr_both_corrected,mean_sdi,median_sdi,directional_innovation_mean,directional_persistence_mean,sustained_direction_precision,sustained_direction_variation,n_sdi_events,total_sdi_weight,mean_sdi_expert,mean_sdi_partner,match_id
wired,nuclear,wired_nuclear_13,1,teenager,58,0.8275862068965517,22.881582377713006,38.01844251202761,42.44107743876957,0.42019752688026957,0.4610822786826737,0.9948024190774447,0.4549880889937308,0.09726290168870702,0.902737098311293,10.0,4.201975268802696,0.39758399130770733,0.44281106245283175,wired::nuclear
wired,nuclear,wired_nuclear_14,2,undergraduate,117,0.8034188034188035,31.426399917121948,42.96604966200288,48.82096298611964,0.3472870649559703,0.3070787379019267,0.888404211133022,0.4027146471223473,0.10149925179310355,0.8985007482068964,15.0,5.2093059743395544,0.3814104854788207,0.30828887007271266,wired::nuclear
wired,nuclear,wired_nuclear_15,3,graduate,97,0.7731958762886598,33.59835445609926,51.585081512526465,60.07842438584681,0.3640806367820998,0.36788554020892483,0.9850571058065636,0.3845645429795539,0.0909374491541452,0.9090625508458547,10.0,3.640806367820998,0.38932311744220394,0.3388381561219957,wired::nuclear
wired,nuclear,wired_nuclear_16,4,expert,44,0.36363636363636365,21.622795230981907,43.49022960738287,49.36584551771133,0.49006024800790177,0.5401303163300556,0.9344347708530436,0.5159976722527202,0.05475431226759409,0.9452456877324059,3.0,1.4701807440237054,0.5401303163300556,0.4650252138468249,wired::nuclear
wired,sensing,wired_sensing_12,0,child,52,0.7115384615384616,20.07213902651918,32.686248146219505,35.96608808483808,0.4092319137392951,0.4293357465598098,0.9962618771563029,0.434873801477716,0.08992645359864568,0.9100735464013543,23.0,9.412334016003786,0.4379295240527579,0.37792542976097193,wired::sensing
wired,sensing,wired_sensing_13,1,teenager,90,0.6111111111111112,15.495718242151971,18.619890954297404,19.65253903653204,0.39704720996435605,0.3956174058676281,0.9672330303006883,0.43131574329981603,0.10029949985713757,0.8997005001428624,59.0,23.425785387897008,0.41109190651171884,0.3825182135360498,wired::sensing
wired,sensing,wired_sensing_14,2,undergraduate,63,0.6507936507936508,19.525670522232055,28.382862073755845,30.78441315397166,0.4260190370379022,0.40755065332480145,0.9607310448927018,0.46622818398515675,0.09739485659274195,0.9026051434072581,27.0,11.50251400002336,0.42512842386319327,0.426978158918358,wired::sensing
wired,sensing,wired_sensing_15,3,graduate,61,0.6721311475409836,23.806122054849517,39.28679726357048,43.95388979573166,0.4003930982339135,0.4023051182986792,1.0138710014999657,0.39670412342750494,0.08464893655362134,0.9153510634463786,25.0,10.009827455847837,0.4041163270152988,0.39635960038741275,wired::sensing
wired,sensing,wired_sensing_16,4,expert,56,0.35714285714285715,21.181875525686397,34.03311777281505,37.55291236815784,0.39083121172363006,0.38278399552030673,0.9597777848661091,0.4408244042161125,0.122133041367915,0.877866958632085,19.0,7.425793022748971,0.4148345330047777,0.36416085474457716,wired::sensing
wired,sleep,wired_sleep_12,0,child,93,0.7204301075268817,29.224935643045683,42.54382801676012,48.195176786736056,0.4453276911283179,0.460819890563993,1.0606739811796668,0.42273238731694035,0.07920455377531359,0.9207954462246865,43.0,19.14909071851767,0.4465883965324698,0.44412429051526375,wired::sleep
