dataset,video_id,conversation_id,level,level_label,episode_id,turn_order,speaker_role,innovation_magnitude,directional_innovation_magnitude,directional_innovation_fraction,directional_persistence,within_episode_sdi
wired,blockchain,wired_blockchain_15,3,graduate,0,9,partner,0.9220891672590102,0.6303947467256851,0.6836592046720431,0.7135545342426939,0.44982102988888717
wired,blockchain,wired_blockchain_15,3,graduate,0,10,expert,0.8546719823628955,0.8113037007410857,0.9492573963839792,0.4416592821586607,0.3583198100819728
wired,blockchain,wired_blockchain_16,4,expert,0,4,expert,0.9494313296977794,0.8877414741421845,0.9350244155349635,0.49150343253545115,0.4363279817449651
wired,blockchain,wired_blockchain_16,4,expert,0,5,partner,0.9466380161132595,0.9367481472037106,0.989552639190274,0.5041911323464163,0.47230010906204634
wired,blockchain,wired_blockchain_16,4,expert,0,6,expert,1.1106665975724646,1.0993629338497657,0.9898226310682299,0.3837269859332043,0.4218552250528553
wired,blockchain,wired_blockchain_16,4,expert,0,7,partner,0.9066230945655105,0.8738976254626757,0.9639039979237657,0.2524246421382015,0.22059329537283995
wired,blockchain,wired_blockchain_16,4,expert,0,8,expert,0.9973795026302092,0.9394417650513109,0.9419100378270744,0.4373230527327013,0.4108395405568364
wired,blockchain,wired_blockchain_16,4,expert,0,9,partner,0.7809103087171456,0.761870290846475,0.9756181757890677,0.48139776936324585,0.3667626585576204
wired,blockchain,wired_blockchain_16,4,expert,0,10,expert,0.6530882571197053,0.6526300266089287,0.9992983635721812,0.2976420151001354,0.1942501162347365
wired,blockchain,wired_blockchain_16,4,expert,0,11,partner,0.839377423396145,0.8176337222985476,0.9740954420591922,0.4138606978021165,0.33838646285701884
wired,blockchain,wired_blockchain_16,4,expert,0,12,expert,1.101108230515929,1.0927103990365399,0.9923732915188122,0.3089956769871006,0.3376427895011405
wired,blockchain,wired_blockchain_16,4,expert,0,13,partner,0.9337287962071734,0.9172974160870451,0.9824024061506346,0.4017633708085791,0.36853650192113097
wired,blockchain,wired_blockchain_16,4,expert,0,14,expert,1.0986168491491752,1.0948917594038836,0.9966092912654915,0.38190529333364476,0.41814495854373057
wired,crispr,wired_crispr_12,0,child,0,4,expert,1.1432486493771516,1.1297906107671554,0.9882282488430522,0.33637567628023735,0.3800340807518643
wired,crispr,wired_crispr_12,0,child,0,5,partner,0.9487978900703219,0.3566438665605623,0.37589023994746984,1.0,0.3566438665605623
wired,crispr,wired_crispr_12,0,child,0,6,expert,1.239796901730202,1.2006575887641449,0.9684308672554314,0.4660034934675865,0.5595106308224603
wired,crispr,wired_crispr_12,0,child,0,7,partner,1.2335648676322417,1.2137636175164301,0.9839479457980973,0.8453707841896332,1.0260803011607105
wired,crispr,wired_crispr_12,0,child,0,8,expert,0.9703651836012951,0.6920705963509433,0.7132063351466956,0.7257473771299296,0.5022684200904434
wired,crispr,wired_crispr_12,0,child,0,9,partner,0.9533532186042238,0.9158748472614038,0.9606878430654991,0.43082897948757015,0.39458542578396477
wired,crispr,wired_crispr_13,1,teenager,0,4,expert,0.7800033470689849,0.7505779792100313,0.9622753312912216,0.5724537934816246,0.4296712115025544
wired,crispr,wired_crispr_13,1,teenager,0,5,partner,0.9305252172622567,0.9150922603708594,0.9834147891899301,0.42228834816721383,0.3864327990526122
wired,crispr,wired_crispr_13,1,teenager,0,6,expert,1.178674995589951,1.176327985263047,0.9980087722767655,0.34474420506695735,0.4055322561775247
wired,crispr,wired_crispr_13,1,teenager,0,7,partner,1.1659016904551722,1.1560028017973563,0.9915096712357085,0.35926330148278673,0.4153093830970698
wired,crispr,wired_crispr_13,1,teenager,0,8,expert,0.868353737697422,0.8578452852090518,0.9878984196956152,0.35763399511684846,0.3067946365414655
wired,crispr,wired_crispr_14,2,undergraduate,0,4,expert,1.342450432585831,1.3374932352379723,0.9963073516693598,0.2728605854605811,0.36494918721659986
wired,crispr,wired_crispr_14,2,undergraduate,0,5,partner,1.0490212897782296,1.0155411898598774,0.9680844419026059,0.34573070725126576,0.35110377381304736
wired,crispr,wired_crispr_14,2,undergraduate,0,6,expert,0.6035309376709383,0.5864353354687989,0.9716740250813255,0.5160093686910407,0.3026061272333736
wired,crispr,wired_crispr_14,2,undergraduate,0,7,partner,1.1654634068365788,1.1278433311332081,0.9677209293027477,0.5363872283441211,0.6049607583929423
wired,crispr,wired_crispr_14,2,undergraduate,0,8,expert,0.8707218997276738,0.8487141476695764,0.9747247059411792,0.49213936092925137,0.41768563824571964
wired,crispr,wired_crispr_14,2,undergraduate,0,9,partner,1.1143338511290652,1.0651524495246194,0.9558647513439799,0.4376276249861014,0.46614013673358745
wired,crispr,wired_crispr_14,2,undergraduate,0,10,expert,1.2246328905119475,1.2130977735450132,0.9905807552146483,0.5953677855912712,0.722239335141196
wired,crispr,wired_crispr_14,2,undergraduate,0,11,partner,1.007759494580991,0.8057807424740715,0.7995764334706682,0.4676176237402134,0.37679727605135016
wired,crispr,wired_crispr_15,3,graduate,0,4,expert,1.1085240141789312,0.9686629028392052,0.8738312300395286,0.36207287089289353,0.350726558158435
wired,crispr,wired_crispr_15,3,graduate,0,5,partner,0.8788450171331729,0.8606259134048734,0.9792692643479847,0.5299003740941656,0.4560459934683753
wired,crispr,wired_crispr_15,3,graduate,0,6,expert,1.134944881574668,1.1179048326302576,0.9849860119006365,0.2877961670230135,0.32172872592749163
wired,crispr,wired_crispr_15,3,graduate,0,7,partner,0.9926834585445767,0.989946006965361,0.9972423721210923,0.3198684169252348,0.3166524620894675
wired,crispr,wired_crispr_15,3,graduate,0,8,expert,0.992941521956863,0.9880851243948837,0.9951090799854925,0.6761891958891822,0.668132485734639
wired,crispr,wired_crispr_15,3,graduate,0,9,partner,0.954284455425757,0.9352501204694875,0.9800538143013581,0.39244820077250986,0.3670372270505235
