dataset,video_id,conversation_id,level,level_label,turn_order,speaker_role,innovation_magnitude,directional_innovation_magnitude,directional_innovation_fraction,directional_persistence,sdi,sustained_direction_variation,sustained_direction_precision
wired,moravec,wired_moravec_12,0,child,13,partner,0.9696986085585717,0.9248268694386114,0.9537260972379711,0.5070123477337757,0.46889864232134837,0.9457797687053278,0.05422023129467224
wired,moravec,wired_moravec_12,0,child,14,expert,1.0742983347633137,1.0694886145391151,0.9955229194074345,0.37447210629508454,0.4004936541450742,0.8842025481321972,0.11579745186780277
wired,moravec,wired_moravec_12,0,child,15,partner,0.9803785743385016,0.9075290826003498,0.9256924889568994,0.24927919761983255,0.22622812152727795,0.9093711009819816,0.0906288990180184
wired,moravec,wired_moravec_12,0,child,16,expert,1.0068107119136194,0.9400814463486231,0.933722133886419,0.42521387092732277,0.39973567078885436,0.8981380564892132,0.10186194351078681
wired,moravec,wired_moravec_12,0,child,17,partner,1.0103617863514835,0.9926628119567095,0.9824825378049289,0.310374317364364,0.30809704263405374,0.9118928502816537,0.08810714971834632
wired,moravec,wired_moravec_12,0,child,18,expert,1.1542250446192388,1.1272239500898749,0.9766067331009545,0.48310464843328565,0.5445671301137486,0.948514302748859,0.05148569725114105
wired,moravec,wired_moravec_12,0,child,19,partner,0.9633232532913747,0.9462100882534671,0.9822352829328894,0.31782720720236746,0.3007313097763051,0.9430851173691636,0.05691488263083644
wired,moravec,wired_moravec_12,0,child,20,expert,1.1669200232963235,1.1406029808804592,0.9774474326505245,0.5600897819415537,0.6388400748432225,0.8079514304865659,0.19204856951343408
wired,moravec,wired_moravec_12,0,child,21,partner,1.0115429048978155,0.9890245523128439,0.9777386085385827,0.36808491933402343,0.3640450225574418,0.8931305296409986,0.1068694703590014
wired,moravec,wired_moravec_12,0,child,22,expert,1.1739803622375564,0.9690763275409893,0.8254621275718323,0.4341429875515256,0.42071769200410586,0.9373113140053076,0.06268868599469235
wired,moravec,wired_moravec_12,0,child,23,partner,1.1044412323527475,1.1029558683761926,0.9986550991270134,0.34122737838257955,0.3763587394376897,0.8789963666677153,0.1210036333322847
wired,moravec,wired_moravec_12,0,child,24,expert,1.0611447245432328,1.0396804188327586,0.9797724992500968,0.5644432594388917,0.5868406043807544,0.9248420474259139,0.07515795257408608
wired,moravec,wired_moravec_13,1,teenager,4,expert,1.3966022759142918,1.378820475312708,0.987267813529138,0.5898291924281405,0.8132685674570793,0.8894293014389898,0.1105706985610102
wired,moravec,wired_moravec_13,1,teenager,5,partner,1.2755700863890904,1.274533973717219,0.9991877257988985,0.5441679861363637,0.6935605857400762,0.8131937138429398,0.1868062861570602
wired,moravec,wired_moravec_13,1,teenager,6,expert,1.0103966153113078,0.9214987232412546,0.9120168350489026,0.41556772259504043,0.3829451257916056,0.9284582407577102,0.07154175924228978
wired,moravec,wired_moravec_13,1,teenager,7,partner,1.1177088355305431,0.9933996120098957,0.8887821053480978,0.5042895652328343,0.5009610584429366,0.9342508583401873,0.06574914165981272
wired,moravec,wired_moravec_13,1,teenager,8,expert,1.069429735097967,1.0663639239156586,0.997133228034823,0.3752921559997745,0.40019801608668704,0.8886380623392084,0.11136193766079161
wired,moravec,wired_moravec_13,1,teenager,9,partner,0.9523722071352777,0.8600996163192054,0.903112889975517,0.48919996582997904,0.42076070291373335,0.941460147376175,0.058539852623824995
wired,moravec,wired_moravec_13,1,teenager,10,expert,1.0095158995005304,1.0043365965598172,0.9948695182074193,0.4239665808762426,0.425805152892348,0.9352688094640775,0.06473119053592247
wired,moravec,wired_moravec_13,1,teenager,11,partner,1.0544480103160656,1.0421544322337826,0.9883412193270804,0.31521573820308924,0.32850347867819313,0.8473948198609053,0.15260518013909474
wired,moravec,wired_moravec_13,1,teenager,12,expert,0.8974621262678371,0.8190696446529285,0.9126509305280412,0.6702978594588,0.549020629558538,0.9837440325902118,0.016255967409788186
wired,moravec,wired_moravec_13,1,teenager,13,partner,1.1824838971038403,1.179177938737919,0.9972042254655514,0.32796288294297493,0.3867265962912426,0.8564135028911685,0.14358649710883153
wired,moravec,wired_moravec_13,1,teenager,14,expert,1.200470068253362,1.194863178966515,0.9953294218355646,0.5551235390975204,0.6632966766452058,0.893296604019399,0.10670339598060097
wired,moravec,wired_moravec_13,1,teenager,15,partner,1.0566967317490907,1.0085256897695902,0.9544135601699835,0.44221771087495065,0.44598792188848885,0.865006380018986,0.134993619981014
wired,moravec,wired_moravec_13,1,teenager,16,expert,0.7772985480763641,0.7698634496409351,0.9904346940376776,0.33682614999719146,0.2593101417661129,0.9518083040407851,0.04819169595921491
wired,moravec,wired_moravec_13,1,teenager,17,partner,0.9549888327957154,0.8615835495039242,0.9021922769303482,0.1987341391438793,0.1712260650111903,0.9161868621368989,0.08381313786310107
wired,moravec,wired_moravec_13,1,teenager,18,expert,0.9156211879016907,0.8983263416597589,0.9811113520837726,0.3296904237247234,0.29616959222488654,0.8808511663530425,0.1191488336469575
wired,moravec,wired_moravec_13,1,teenager,19,partner,1.019370958665283,0.9746433816412888,0.9561223746421865,0.19792594702043148,0.1929072143185479,0.8689935399956945,0.1310064600043055
wired,moravec,wired_moravec_13,1,teenager,20,expert,1.0129695728950538,0.9450898182978421,0.9329893449769223,0.28669151349542454,0.27094923039692415,0.8679045213751626,0.1320954786248374
wired,moravec,wired_moravec_13,1,teenager,21,partner,1.039659272370909,0.9741875688769177,0.9370258071708221,0.49015527711705975,0.47750317778686036,0.9306054525162559,0.06939454748374407
wired,moravec,wired_moravec_13,1,teenager,22,expert,0.9537204027052076,0.9211751387992825,0.9658754664212099,0.286596083193403,0.2640051867150137,0.853409905656787,0.14659009434321302
wired,moravec,wired_moravec_13,1,teenager,23,partner,1.0035371252904113,0.9827295181858683,0.9792657325960902,0.6691374900322067,0.6575811631794517,0.9623138219652098,0.03768617803479024
wired,moravec,wired_moravec_14,2,undergraduate,4,expert,1.0807316923557122,1.061160283985227,0.9818905945759704,0.7403588689109593,0.785639427584535,0.9663327316338794,0.03366726836612055
wired,moravec,wired_moravec_14,2,undergraduate,5,partner,0.9685774820901728,0.8694350566231778,0.897641203413128,0.5856672274025843,0.5091996190191054,0.9581548477134789,0.04184515228652108
wired,moravec,wired_moravec_14,2,undergraduate,6,expert,1.0075534537324267,1.000694359104594,0.993192326815598,0.6697486693344537,0.6702137154207958,0.9671185665710211,0.03288143342897887
