type,comment_id,parent_id,author,text,likes,published_at
top,UgwLVGnWg66vy5jTBiN4AaABAg,,@user-dj9iu2et3r,"Ugh of COURSE Hasan’s community (which I’m a part of sometimes) would think what Sydney said is a problem… 

There’s nothing wrong with what she said. The entire jeans controversy was DUMB as hell. Y’all are lame for this. Seriously.",1,1762646400
top,UgyBZtzhVyrA7zwvMjN4AaABAg,,@DarthUnivers,"chat, i can change her...",0,1762646400
top,UgxcTwcolp4xGMdlEaF4AaABAg,,@DarthUnivers,"i saw it as i have good ""genes"" like i am able to grow big boobs...not im white and im good.....

i thought it was sexual and that was the selling point not racism...but she is acting too dumb like drop the act and defend ur self...?",1,1762646400
top,UgxcTwcolp4xGMdlEaF4AaABAg.APFIJZQm2dIAPLFTkJzley,,@burninsage22,Because you didn’t watch the right ad; where she’s telling you that blonde hair & blue eyes & blue blood are superior. It’s literally an ad for eug*nics,0,1762819200
top,UgxcTwcolp4xGMdlEaF4AaABAg.APFIJZQm2dIAPMJoSQxAk6,,@DarthUnivers, @burninsage22 oh..that’s crazy wtf,0,1762819200
top,Ugy18F-maE759srEOKZ4AaABAg,,@SocietyOfDecency,"A lot of celebrities, and pretty much any CEO From a company with shareholders, go through media training. That's where an outside firm, or sometimes a dedicated internal department, will provide training on how to handle words in these situations. They go over optics which is how things are portrayed in a public light. There is zero chance that this is just an honest mistake. They performed for an audience and the message got to the intended recipients.",0,1762646400
top,UgxUSNLcTtRgOi_133N4AaABAg,,@lonnielynn9566,Shes mid anyway. Just tig bits,0,1762646400
top,UgwYZrWPQRfLIS4DXaR4AaABAg,,@ComradeKausie,Sometimes I feel like his chat is intentionally obtuse,1,1762646400
top,UgwM9Z60buWLHMvMEJ14AaABAg,,@avarichards470,"No this is not her being stupid if it was just being stupid it would’ve just been the one time you are giving her to much benefit of the doubt she’s being intentional and I can’t tell if it’s a dog whistle or she’s just being what she’s been asked to do. Why do you think she’s stupid because she’s blonde and pretty or because she’s a chick, ridiculous this pissed me off give her the same energy you give all the other racists.. just cause she’s pretty doesn’t mean you shouldn’t put her in her place PLEASE",1,1762646400
top,UgwVfJFNnwvt78W2g2V4AaABAg,,@rubyrootless7324,saw her on a movie poster today. decided not to watch that,1,1762646400
top,UgzIQgb6ErujPT7KT7F4AaABAg,,@Zman44444,"I just… honestlyyyy believeee… that… this wayyy of speakingggg, with… these silly… little pausessss. And like. These inflections? 
It’s unbearableeee, and I like… just… don’t understand.. howwww people.. talk like this.",3,1762560000
top,Ugzm89H3vUNt7dJgwmV4AaABAg,,@xXSprMgaAwsmFxyHtXx,"Omg she’s 28, she’s older than me?? The fuck",1,1762560000
top,Ugz_QBcrFYHImX-q0-V4AaABAg,,@Yusuf-ep6yz,"Jeans are absolutely political, they were invented for political reasons",0,1762560000
top,Ugxil9je6Fg2eW8b_AR4AaABAg,,@Zman44444,"I hate the way they talk, so annoying",0,1762560000
top,UgwllAG9YU_jmcw3LHl4AaABAg,,@jessprice,"Her mom is MAGA, not sure if people are remembering that. She had a bday party a couple years back, and obviously Sydney Sweeney was in attendance. That doesn’t make her MAGA as well, but it’s data.",0,1762560000
top,UgzmZ--0F1eS54-6I7l4AaABAg,,@colombish1409,2:11,0,1762560000
top,Ugy9Ab6OyR8KkxD4Vkp4AaABAg,,@SirTibzy,A lot of the right wingers that accused people of 'politicising' Sweeney's jeans ad (even though it had obvious socio-political undertones) are now politicising this interview by making all sorts of nefarious assumptions about the interviewer's intentions.  Lot of hypocrisy!,0,1762560000
top,UgzTcTV21PDBDcWTaSV4AaABAg,,@SirTibzy,A lot of the right wingers that accused people of 'politicising' Sweeney's jeans ad (even though it had obvious socio-political undertones) are now politicising this interview by making all sorts of nefarious assumptions about the interviewer's intentions.  Lot of hypocrisy!,0,1762560000
top,UgxnJO6VgVKS0xExNDB4AaABAg,,@Flamec45,Her family is MAGA but continue to make excuses for white women.,0,1762560000
top,UgwEZ0vnd_wUouwA-a94AaABAg,,@Nana_9150,Am I the only one that thinks the “good gene” play was simply that she has big naturals? Hahaha,0,1762560000
top,UgwaETJO3u0DmhbAC5t4AaABAg,,@Dinosaurocks11,I would disagree with a lot of the comments calling her not stupid bc are you sure..😃😵‍💫,1,1762560000
top,UgzbfWBQRGUxJ0P8TXB4AaABAg,,@adamhoffman2329,Literally how can anyone give a shit about that commercial. She has nothing to apologize for because nothing about it was racist.,1,1762560000
top,UgzODcndDDQC4THXtFN4AaABAg,,@SussyAsianMenacePlays,"Sydney sweeney strikes me as someone with ASPD. Her eyes have the same shark like quality most of ours do and the way her face looks during the interview when she's listening to the question reminds me of when i was a kid trying to teach myself how to smile and interact like other people do so as to seem genuine. I do believe her agreeing to do the ad was intentional- she knows whatsup and believes she can get away with it without consequence- which she likely will as this is the blueprint. I do not appreciate that hasan uses ASPD as a pejorative consistently but can't actually recognize one in action.  He really is doing white apologia here. ""A level of intelligience that i don't think she has"" is an ASPD diagnosed person's greatest tool- believing she's too stupid to do prolonged cruelty means she's already won on that front. Currently, being racist and using dog whistles is both largely permissible and lucrative and she has deflected in suchb a way that she has an ""out"" later using plausible deniability, ""i was young"" etc. All this to say as someone who is ASPD hasan is clearly just being a dumbass man rn- chatter was cooking when they said ""you're just being misogynistic in a way that benefits her.""",2,1762560000
top,UgyJ-efpgcKy-c9lV2l4AaABAg,,@thethrowawaythatstayed7055,She threw her mother a MAGA themed birthday. She’s not dumb AND racist.,2,1762560000
top,Ugwwq3NWxhs1eWGzMw14AaABAg,,@Bunnie707,Us calling these racists stupid versus evil is exactly why we keep ending up here lol,0,1762560000
top,UgzpMWBeedFVUclQ4hZ4AaABAg,,@AnonymousFREEZEpOp1,"There's no denying she knew at the very least after the fact, come on dude. Shes not THAT stupid jfc",1,1762560000
top,UgxG11S6VmrNFVpNpMR4AaABAg,,@Seth_Dickfield,Gang she’s from the north Idaho panhandle who didn’t see this coming?,2,1762560000
top,UgwTKC_cQfSQWZBJyAx4AaABAg,,@ChiefHyabusa117,Is hasan pissing anyone else off or?? What kinda xlown shit is goin on.,0,1762560000
top,UgySCcBjuFLvyFHlvOh4AaABAg,,@RahmenNoodles,Sydney Sweeney and Drake have the exact same speaking pattern and inflection,1,1762560000
top,Ugx2TLm62tralN3MyvJ4AaABAg,,@dopeminguez24,"This is fkn hilarious because before even seeing Hasan’s take on this, I was telling my wife about Sydney Sweeney didn’t have the level of intelligence to understand what eugenics even is. That she is just dumb and as a byproduct of her stupidity and unbeknownst to her, is being used as a shill for white supremacy. 😂😂",1,1762560000
top,Ugx8WEAIJv7f5MAkNw54AaABAg,,@beefbrisket8905,"You assuming she's too dumb for this to be on purpose IS misogny, Hasan. You have literally no reason to assume she's a moron aside from the cues you think you're picking up on. She's playing a specific game. One many men play, and they don't get branded stupid bimbos. You consistently drop the ball when it comes to misogyny and it's no clearer than here and with the Amber Heard stuff.",2,1762560000
top,UgyWeecqt5A5tAU943Z4AaABAg,,@samofsamnation7523,"It’s giving Paris Hilton persona, but much more overtly racist and classist.",1,1762560000
top,UgxPV5H6MxROqKpEk1t4AaABAg,,@Mountain_Biking_Vampire_Which,I hate her,3,1762560000
top,Ugxh5BdikYTetvem7Ix4AaABAg,,@l.j.1417,Awww she loves pigs so much that she even looks like one ❤,3,1762560000
top,UgzPXWQwReDuXOVeocx4AaABAg,,@Intrep1dMind,I don’t get how female droopy is so popular. She looks like she’s falling to sleep all the time.,2,1762560000
top,UgzPXWQwReDuXOVeocx4AaABAg.APEUntHw3baAPEX4MHD4XJ,,@AutumnSwatches,Thank you! The downturned features are giving melty off the face and Droopy dog. Sydney Sweeney is homely. I don’t get the appeal.,0,1762560000
top,Ugyhbi5J5puJ4ind83h4AaABAg,,@bingbopboomboomboombopbamm,The amount of ads in this video is stupid. Every two minutes theres an ad.,1,1762560000
top,UgysXbxSjvTuRjz-G6p4AaABAg,,@RahmenNoodles,She looks straight up hideous in this interview. Also reminder: Bullying celebrities is always acceptable.,4,1762560000
top,UgysXbxSjvTuRjz-G6p4AaABAg.APEUA7UNvUjAPEXCsbnN8_,,@AutumnSwatches,Exactly! Sydney Sweeny’s downturned features are homely and giving melting off the face Droopy Dog.,0,1762560000
top,Ugw_pcvnHzihKOETVl94AaABAg,,@Allicat-n3d,The more you defend yourself the more people will talk.,0,1762560000
top,Ugw0Bcg-QB-jMvvd2x94AaABAg,,@Krissyd215,"To be fair, how many years did Paris Hilton successfully pull off that ""stupid dumb blonde"" trope? She's so incredibly intelligent and doesn't even normally talk the way we were all thought to believe. For Paris, it was innocent. But for Sydney, i think she's playing the same trope, just not innocently. It comes with a lot of damage following it.",35,1762560000
top,UgyOYFR4AEvpWAUSWPV4AaABAg,,@austinfields3288,She’s incredibly busted. Edit - like super chopped,1,1762560000
top,UgyOYFR4AEvpWAUSWPV4AaABAg.APESKgs4lJGAPEXEnWSFJx,,@AutumnSwatches,Exactly! Sydney Sweeny’s downturned features are homely and giving melting off the face Droopy Dog.,0,1762560000
top,Ugy8bgc4znKyzzWIE-94AaABAg,,@eli6983,"I’m JUST saying even if she wasn’t on robotics and math club in high school, or went to UCLA, I think she cognitively capable to seeing people call her a white supremacist and if she NOT A WHITE SUPREMACIST respond according with omg no it really sucks people think that OR SOMETHING OTHER THAN DONT GAF AND RATIO!?!? I’m sorry I’m so sick of white people being given excuse after excuse",12,1762560000
top,UgxkW4hcBfPgxlWb3D94AaABAg,,@thomasbellamy1,Whatever. Who cares.,0,1762560000
top,Ugyc8ZQj6c-2jHzcpcJ4AaABAg,,@ComradeCopper,He said “not like she is reading mien komf” no now a days fascist do they just listen to Trump now instead,2,1762560000
top,UgxDENv_S1-jiSpP5kN4AaABAg,,@DIVADNOMIS1313,white women moment,3,1762560000
top,UgzN0aLy5Jqrirzk3gB4AaABAg,,@inspir.edmusic,5:14 the normal response is to say “I have good genes because I’m hot- not because I’m white. I’m sorry that people misinterpreted the advertisement.”,109,1762560000
top,UgzN0aLy5Jqrirzk3gB4AaABAg.APEOx1xsZ39APEPbHXNGXy,,@tommierobinson7806,That's exactly what I thought when I saw the advertisement!,8,1762560000
top,UgzN0aLy5Jqrirzk3gB4AaABAg.APEOx1xsZ39APEQ5Io1A0o,,@kyrkogarden,but then she's gonna lose all the rightoids that goon to her when she hits 30 and they can't pretend she's 16 anymore,1,1762560000
