dataset,conversation_id,n_utterances_historical,n_utterances_rebuilt,n_utterances_difference,expert_n_utterances_historical,expert_n_utterances_rebuilt,expert_n_utterances_difference,partner_n_utterances_historical,partner_n_utterances_rebuilt,partner_n_utterances_difference,speaker_centroid_cosine_distance_historical,speaker_centroid_cosine_distance_rebuilt,speaker_centroid_cosine_distance_difference,radial_distance_median_historical,radial_distance_median_rebuilt,radial_distance_median_difference,radial_distance_q90_historical,radial_distance_q90_rebuilt,radial_distance_q90_difference,participation_ratio_historical,participation_ratio_rebuilt,participation_ratio_difference
wired,wired_laser_12,73,73,0,41,41,0,5,5,0,0.2581362724304199,0.2581362128257751,-5.960464483090178e-08,0.5303033208311159,0.530303278903345,-4.1927770810801235e-08,0.7142704899122422,0.714270436509998,-5.340224418226569e-08,19.012241677997206,19.01224293952008,1.2615228719425886e-06
wired,wired_machine_12,69,69,0,34,34,0,8,8,0,0.3481630682945251,0.3481629490852356,-1.192092894952701e-07,0.5632543568106652,0.5632543212676038,-3.554306138298102e-08,0.7063290517078671,0.7063289244657845,-1.2724208253711566e-07,21.354120904541123,21.354122300876337,1.3963352145651697e-06
wired,wired_memory_12,41,41,0,23,23,0,14,14,0,0.2115561366081237,0.211556077003479,-5.96046446921239e-08,0.4855437104667333,0.4855436546135592,-5.585317408574042e-08,0.6950241137502577,0.6950241751674631,6.141720532149009e-08,18.85136457821156,18.8513679325051,3.3542935398145346e-06
wired,wired_moravec_12,50,50,0,31,31,0,5,5,0,0.3603177666664123,0.3603176474571228,-1.192092894952701e-07,0.5178453381136363,0.5178453787364709,4.0622834540648967e-08,0.7015944301226934,0.701594404436879,-2.5685814364351245e-08,17.27482473020246,17.27482280133276,-1.9288697004071764e-06
wired,wired_nano_12,58,58,0,39,39,0,5,5,0,0.2966853976249695,0.2966853976249695,0.0,0.5355851966376529,0.5355852846274598,8.79898068850693e-08,0.709439579944782,0.709439599107068,1.9162285980200977e-08,23.655212410877173,23.65521152351384,-8.873633312589391e-07
wired,wired_neuro_12,12,12,0,8,8,0,3,3,0,0.5125313997268677,0.5125312805175781,-1.1920928955078125e-07,0.4042639410309032,0.404263919112434,-2.191846920629459e-08,0.6943641086697832,0.6943640069368793,-1.0173290387882616e-07,8.541462650684986,8.541463262109867,6.11424880503364e-07
wired,wired_nuclear_12,73,73,0,42,42,0,12,12,0,0.2516592144966125,0.2516593337059021,1.192092896062924e-07,0.548040872808616,0.5480409541459821,8.13373660646377e-08,0.7039572856523715,0.7039572545285769,-3.112379454162095e-08,25.739504606772876,25.73950333218144,-1.2745914368395006e-06
wired,wired_sensing_12,52,52,0,27,27,0,8,8,0,0.2129703760147094,0.212970495223999,1.192092896062924e-07,0.5459451841875778,0.5459451518900709,-3.2297506891154626e-08,0.6864671779069327,0.6864672015687038,2.3661771098026918e-08,20.07213935623229,20.072139128475634,-2.2775665797780675e-07
wired,wired_sleep_12,93,93,0,47,47,0,9,9,0,0.2720444202423095,0.2720443606376648,-5.9604644719879474e-08,0.5890910474779605,0.5890909892293221,-5.82486383571279e-08,0.701108610295583,0.7011088283057522,2.1801016913958193e-07,29.224935661310123,29.22493482123666,-8.40073465013802e-07
wired,wired_time_12,80,80,0,47,47,0,5,5,0,0.2504389882087707,0.250438928604126,-5.9604644719879474e-08,0.5573424586071374,0.5573424386785546,-1.9928582783990123e-08,0.6878869225850658,0.6878868898372986,-3.2747767164664765e-08,30.794844665673487,30.794845085891055,4.202175674095088e-07
